pizza_name_id,pizza_name,pizza_ingredients,Items_Qty_In_Grams
the_greek_s,The Greek Pizza,garlic,5.0
the_greek_s,The Greek Pizza,beef chuck roast,50.0
the_greek_s,The Greek Pizza,red onions,20.0
the_greek_xl,The Greek Pizza,kalamata olives,20.0
the_greek_xl,The Greek Pizza,feta cheese,60.0
the_greek_xl,The Greek Pizza,tomatoes,40.0
the_greek_xl,The Greek Pizza,garlic,20.0
the_greek_xl,The Greek Pizza,red onions,80.0
the_greek_xxl,The Greek Pizza,kalamata olives,25.0
the_greek_xxl,The Greek Pizza,feta cheese,80.0
the_greek_xxl,The Greek Pizza,tomatoes,50.0
the_greek_xxl,The Greek Pizza,garlic,25.0
veggie_veg_l,The Vegetables + Vegetables Pizza,mushrooms,60.0
veggie_veg_l,The Vegetables + Vegetables Pizza,tomatoes,30.0
veggie_veg_l,The Vegetables + Vegetables Pizza,red peppers,15.0
veggie_veg_l,The Vegetables + Vegetables Pizza,green peppers,20.0
veggie_veg_l,The Vegetables + Vegetables Pizza,red onions,60.0
veggie_veg_l,The Vegetables + Vegetables Pizza,zucchini,30.0
veggie_veg_l,The Vegetables + Vegetables Pizza,spinach,45.0
veggie_veg_l,The Vegetables + Vegetables Pizza,garlic,15.0
veggie_veg_m,The Vegetables + Vegetables Pizza,mushrooms,40.0
veggie_veg_m,The Vegetables + Vegetables Pizza,tomatoes,20.0
veggie_veg_m,The Vegetables + Vegetables Pizza,red peppers,10.0
veggie_veg_m,The Vegetables + Vegetables Pizza,green peppers,15.0
veggie_veg_m,The Vegetables + Vegetables Pizza,red onions,40.0
veggie_veg_m,The Vegetables + Vegetables Pizza,zucchini,20.0
veggie_veg_m,The Vegetables + Vegetables Pizza,spinach,30.0
veggie_veg_m,The Vegetables + Vegetables Pizza,garlic,10.0
veggie_veg_s,The Vegetables + Vegetables Pizza,mushrooms,20.0
veggie_veg_s,The Vegetables + Vegetables Pizza,tomatoes,10.0
veggie_veg_s,The Vegetables + Vegetables Pizza,red peppers,5.0
veggie_veg_s,The Vegetables + Vegetables Pizza,green peppers,20.0
veggie_veg_s,The Vegetables + Vegetables Pizza,red onions,20.0
veggie_veg_s,The Vegetables + Vegetables Pizza,zucchini,10.0
veggie_veg_s,The Vegetables + Vegetables Pizza,spinach,15.0
veggie_veg_s,The Vegetables + Vegetables Pizza,garlic,5.0
